99,NORGS24110-117,Camarin Business Center/Janitorial Services/February 1-29 2024,2024-03-04,104690.64,2024-03-04,2024-01-01,,2024-05-15,2024-05-15
100,BMCGS24111-017,Balintawak Metering Custodian/Balintawak Meter Warehouse Maintenance Services/February 1-29 2024,2024-02-27,23423,2024-02-28,2024-01-01,,2024-05-15,2024-05-15
101,BALGS24112-017,Balintawak Janitorial /Balintawak Janitorial Services/February 1-29 2024,2024-03-12,456972.58,2024-03-13,2024-01-01,,2024-05-15,2024-05-15
102,BALGS24113-033,Balintawak Admin (LSCP)/Balintawak Sector Clerical Services/February 1-29 2024,2024-01-30,82051.68,2024-01-31,2024-01-01,,2024-05-15,2024-05-15
103,BALGS24113-035,Balintawak Operation (LSCP)/Encoding Services/February 1-29 2024,2024-01-30,308853.18,2024-01-31,2024-01-01,,2024-05-15,2024-05-15
104,BOAGS24114-010,Billing Operations & Analytics/Janitorial Services/February 1-29 2024,2024-03-04,52345.32,2024-03-04,2024-01-01,,2024-05-15,2024-05-15
105,CCGGS24116-010,Meralco Consumer Assistance Office/Janitorial Services/February 1-29 2024,2024-03-05,26172.66,2024-03-05,2024-01-01,,2024-05-15,2024-05-15
106,SMEGS24117-022,Financial  Closing and Reporting/Encoding Services/February 1-29 2024,2024-03-27,20512.92,2024-04-09,2024-01-01,,2024-05-15,2024-05-15
107,CRSGS24119-074,Billing Operations & Analytics/Administrative Support Services/February 1-29 2024,2024-03-05,42654.67,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
108,CRSGS24119-076,BPG- NORTH /Administrative Support Services/February 1-29 2024,2024-03-05,25720.51,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
109,CRSGS24119-077,BPG- CENTRAL/Administrative Support Services/February 1-29 2024,2024-03-05,25200.88,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
110,CRSGS24119-078,BPG-SOUTH/Administrative Support Services/February 1-29 2024,2024-03-05,25200.88,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
111,CRSGS24119-080,E&N/Administrative Support Services/February 1-29 2024,2024-03-05,195133.45,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
112,CRSGS24119-075,Meter Data Operations & Analytics Office (MDOA)/Encoding Services Corporate/February 1-29 2024,2024-03-05,123284.31,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
113,CRSGS24119-079,Marketing/Administrative Services for Marketing/February 1-29 2024,2024-03-05,48634.53,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
114,DCDGS24120-10LS,MERALCO - DCD - ALABANG - LSCP - Feb 2024,2024-03-14,20512.92,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
115,DCDGS24120-11LS,MERALCO - DCD - DASMARINAS - LSCP - Feb 2024,2024-03-14,41025.84,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
116,DCDGS24120-12LS,MERALCO - DCD - RIZAL - LSCP - Feb 2024,2024-03-14,20512.92,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
117,DCDGS24120-13LS,MERALCO - DCD - CENTRAL SECTOR - LSCP - Feb 2024,2024-03-14,41412.3,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
118,DCDGS24120-14LS,MERALCO - DCD - MANILA/MAKATI - LSCP - Feb 2024,2024-03-14,123077.52,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
119,DCDGS24120-15LS,MERALCO - DCD - PLARIDEL - LSCP - Feb 2024,2024-03-14,20512.92,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
120,DCDGS24120-16LS,MERALCO - DCD - BAL/VAL - LSCP - Feb 2024,2024-03-14,82438.14,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
121,DCDGS24120-17LS,MERALCO - DCD - SOUTH - LSCP - Feb 2024,2024-03-14,102951.06,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
122,DCDGS24120-18LS,MERALCO - DCD - PPP - LSCP - Feb 2024,2024-03-14,20512.92,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
123,SDMGS24121-02LS,MERALCO - DCD - SDMPRW - LSCP - Feb 2024,2024-03-14,102951.06,2024-03-19,2024-01-01,,2024-05-15,2024-05-15
124,VALGS24123-033,Valenzuela Admin   /Valenzuela Admin Support Services/February 1-29 2024,2024-03-06,82051.68,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
125,VALGS24123-035,Valenzuela C&M Operations (LSCP)/Valenzuela Encoding Services./February 1-29 2024,2024-03-06,329366.1,2024-03-06,2024-01-01,,2024-05-15,2024-05-15
126,CENGS24124-010,Central Business Center Operations Support/Encoding Services for HMB/February 1-29 2024,2024-03-05,976280.69,2024-03-05,2024-01-01,,2024-05-15,2024-05-15
127,SOUGS24126-010,South Business Center Operations Support/Encoding Services for HMB/February 1-29 2024,2024-03-05,1209886.24,2024-03-05,2024-01-01,,2024-05-15,2024-05-15
128, SPAGS24127-081,ENCODING SERVICES/SAN PABLO SECTOR - ADMINISTRATIVE LSCP/FEBRUARY 1-29  2024,2024-03-19,20899.38,2024-03-27,2024-01-01,,2024-05-15,2024-05-15
129, SPAGS24127-083,ENCODING SERVICES/SAN PABLO SECTOR - CONSTRUCTION 1 LSCP/FEBRUARY 1-29  2024,2024-03-19,41025.84,2024-03-27,2024-01-01,,2024-05-15,2024-05-15
130, SPAGS24127-085,ENCODING SERVICES/SAN PABLO SECTOR - CONSTRUCTION 2 LSCP/FEBRUARY 1-29  2024,2024-03-19,20512.92,2024-03-27,2024-01-01,,2024-05-15,2024-05-15
131, SPAGS24127-087,ENCODING SERVICES/SAN PABLO SECTOR - MAINTENANCE LSCP/FEBRUARY 1-29  2024,2024-03-19,123077.52,2024-03-27,2024-01-01,,2024-05-15,2024-05-15
132, SPAGS24127-089,ENCODING SERVICES/SAN PABLO SECTOR - OPERATIONS LSCP/FEBRUARY 1-29  2024,2024-03-19,61538.76,2024-03-27,2024-04-10,,2024-05-15,2024-05-15
133,FSGGS24130-02LS,MERALCO FACILITIES - GROUND MAINTENACE - Feb 2024,2024-03-04,1281852.31,2024-03-04,2024-03-04,,2024-05-15,2024-05-15
134,MOCGS24131-010,Investment & Debt Management (Treasury Operations)/Admin Support Services/February 1-29 2024,2024-03-25,20512.92,2024-03-28,2024-04-06,,2024-05-15,2024-05-15
135,VALGS24132-033,Valenzuela Janitorial/Valenzuela Janitorial Services. /February 1-29 2024,2024-03-06,657617.01,2024-03-06,2024-03-20,,2024-05-15,2024-05-15
136,VALGS24132-035,Valenzuela Gardener/Valenzuela Ground and Maintenance Services./February 1-29 2024,2024-03-06,198391.25,2024-03-06,2024-03-20,,2024-05-15,2024-05-15
137,SPAGS24134-011,JANITORIAL SERVICES/SAN PABLO SECTOR/FEBRUARY 1-29  2024,2024-03-15,560318.02,2024-03-22,2024-04-05,,2024-05-15,2024-05-15
138,LEGGS24135-012LS,MERALCO-LEGAL-( LITIGATION TEAM 1) -LSCP -Feb 2024,2024-04-05,64159.61,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
139,LEGGS24135-016LS,MERALCO-LEGAL-LOCAL GOV.AFFAIRS & SPECIAL PROJ. -LSCP -Feb 2024,2024-04-05,9618.77,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
140,LEGGS24135-013LS,MERALCO-LEGAL-( LITIGATION TEAM 2) -LSCP -Feb 2024,2024-04-05,59734.25,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
141,LEGGS24135-014LS,MERALCO-LEGAL-( LDM) -LSCP -Feb 2024,2024-04-05,60167.09,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
142,LEGGS24135-015LS,MERALCO-LEGAL OPERATION SUPPORT -LSCP -Feb 2024,2024-04-05,82051.68,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
143,LEGGS24135-018L,MERALCO-LEGAL -OH LITIGATION SERVICES -LSCP -Feb 2024,2024-04-05,21738.29,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
144,REMGS24136-02LS,MERALCO-LEGAL -REGULATORY MANAGEMENT -LSCP -Feb 2024,2024-04-05,155977.35,2024-04-08,2024-04-09,,2024-05-15,2024-05-15
145,CGCGS24137-020,Corporate Governance and Compliance Office/Corporate Secretariat Support Services/February 1-29 2024,2024-03-27,31440.19,2024-04-09,2024-04-16,,2024-05-15,2024-05-15
146, MNLGS24138-069,ADMINISTRATIVE SUPPORT SERVICES LSCP/MANILA SECTOR ADMIN/FEBRUARY 1-29  2024,2024-04-11,61925.22,2024-04-17,2024-04-26,,2024-05-15,2024-05-15
147, MNLGS24138-070 ,ENCODING SERVICES/MANILA SECTOR  ENCODING SERVICES LSCP/FEBRUARY 1-29  2024,2024-04-11,369232.56,2024-04-17,2024-04-26,,2024-05-15,2024-05-15
148, MNLGS24139-017,MANILA WAREHOUSE MAINTENANCE/MANILA METER LSCP/FEBRUARY 1-29  2024,2024-03-04,46846,2024-03-12,2024-03-26,,2024-05-15,2024-05-15
149, MNLGS24140-011,JANITORIAL SERVICES/MANILA - JANITORIAL LSCP/FEBRUARY 1-29  2024,2024-03-14,502298.5,2024-03-22,2024-04-05,,2024-05-15,2024-05-15
150,VMCGS24142-017,Valenzuela Metering Custodian/Valenzuela Meter Warehouse Maintenence Services/February 1-29 2024,2024-02-27,23423,2024-02-28,2024-03-08,,2024-05-15,2024-05-15
151,CENGS24144-017,ADMINISTRATIVE SUPPORT SERVICES/SAN JOAQUIN - PLANNING & SCHEDULING LSCP/FEBRUARY 1-29  2024,2024-02-20,61538.76,2024-02-27,2024-03-12,,2024-05-15,2024-05-15
152, SPSGS24145-015,ENCODING SERVICES/SOUTH PLANNING & SCHEDULING LSCP/FEBRUARY 1-29  2024,2024-02-20,82051.68,2024-02-27,2024-03-12,,2024-05-15,2024-05-15
153,NPSGS24146-053,Balintawak Planning & Scheduling (LSCP)/North Planning & Scheduling Encoding Services/February 1-29 2024,2024-01-30,20512.92,2024-01-31,2024-02-14,,2024-05-15,2024-05-15
154,NPSGS24146-049,Plaridel Planning & Scheduling (LSCP)/North Planning & Scheduling Encoding Services/February 1-29 2024,2024-01-31,20512.92,2024-01-31,2024-02-14,,2024-05-15,2024-05-15
155,NPSGS24146-051,Valenzuela Planning & Scheduling (LSCP)/North Planning & Scheduling Encoding Services/February 1-29 2024,2024-01-31,20512.92,2024-01-31,2024-02-14,,2024-05-15,2024-05-15
156,PLAGS24147-033,Plaridel Admin (LSCP)/Plaridel Sector Admin Support & Encoding Services/February 1-29 2024,2024-03-27,82051.68,2024-04-04,2024-04-11,,2024-05-15,2024-05-15
157,PLAGS24147-035,Plaridel (C1 C2  Maintenance  Operations)/Plaridel Sector  Encoding Services/February 1-29 2024,2024-03-27,349879.02,2024-04-04,2024-04-11,,2024-05-15,2024-05-15
158,CENGS24149-118,Espana Business Center/Janitorial Services/February 1-29 2024,2024-03-05,78517.98,2024-03-05,2024-03-19,,2024-05-15,2024-05-15
